Variable,Original_Min,Original_Max,Lower_Threshold,Upper_Threshold,Values_Capped
Unnamed: 0,0.0,19998.0,999.9000000000001,18998.1,2000
id,1000102.0,9900000190.0,519962133.1000001,9287801547.5,2000
price,75000.0,7700000.0,209950.0,1150000.0,1985
bedrooms,1.0,33.0,2.0,5.0,511
bathrooms,0.5,8.0,1.0,3.5,548
sqft_living,290.0,13540.0,920.0,3720.0,1939
sqft_total,520.0,1651359.0,2589.0,44000.1,1999
floors,1.0,3.5,1.0,2.0,513
view,0.0,4.0,0.0,2.0,791
condition,1.0,5.0,3.0,5.0,202
grade,1.0,13.0,6.0,10.0,724
built,1900.0,2015.0,1914.0,2006.0,1947
living_area,399.0,6210.0,1140.0,3270.0,1988
