,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
Unnamed: 0,19999.0,9999.0,5773.3584,0.0,4999.5,9999.0,14998.5,19998.0,0.0,-1.2
id,19999.0,4569211712.1859,2866327005.3648,1000102.0,2123049158.5,3905080310.0,7300300305.0,9900000190.0,0.2484,-1.2513
price,19999.0,535468.0239,365956.6271,75000.0,317000.0,449950.0,640000.0,7700000.0,4.1179,36.6419
bedrooms,19986.0,3.3666,0.9301,1.0,3.0,3.0,4.0,33.0,2.1539,53.0306
bathrooms,19989.0,2.073,0.7611,0.5,1.5,2.0,2.5,8.0,0.5531,1.3353
sqft_living,19999.0,2057.8879,905.644,290.0,1420.0,1900.0,2510.0,13540.0,1.5232,5.8206
sqft_total,19999.0,15606.9964,41771.1938,520.0,5350.0,7819.0,11000.0,1651359.0,13.0407,286.4408
floors,19999.0,1.4449,0.5167,1.0,1.0,1.0,2.0,3.5,0.6832,-0.5074
waterfront,19999.0,0.008,0.0888,0.0,0.0,0.0,0.0,1.0,11.0818,120.8184
view,19999.0,0.2418,0.7779,0.0,0.0,0.0,0.0,4.0,3.3347,10.4505
condition,19999.0,3.4418,0.6655,1.0,3.0,3.0,4.0,5.0,0.9153,0.2786
grade,19999.0,7.6057,1.1726,1.0,7.0,7.0,8.0,13.0,0.824,1.3569
built,19999.0,1967.9546,28.3175,1900.0,1950.0,1969.0,1991.0,2015.0,-0.4488,-0.6274
renovated,19999.0,90.812,415.9479,0.0,0.0,0.0,0.0,2015.0,4.3625,17.0345
living_area,19999.0,1974.2926,675.2584,399.0,1490.0,1830.0,2338.0,6210.0,1.1181,1.6578
